model,accuracy,best_params,training_time,shap_time
LogisticRegression,0.7556390977443609,{'clf__C': 1},1.7455174922943115,0.0008802413940429688
RidgeClassifier,0.7481203007518797,{'clf__alpha': 10.0},1.0267796516418457,0.0007517337799072266
SGDClassifier,0.7180451127819549,"{'clf__alpha': 0.001, 'clf__loss': 'hinge'}",0.8993780612945557,0.0005671977996826172
SVC,0.7180451127819549,"{'clf__C': 1, 'clf__kernel': 'linear'}",0.05341744422912598,0.00047588348388671875
LinearSVC,0.7518796992481203,{'clf__C': 0.1},0.02154254913330078,0.0004448890686035156
DecisionTree,0.7669172932330827,{'clf__max_depth': 3},0.06309032440185547,0.004736661911010742
RandomForest,0.9135338345864662,"{'clf__max_depth': None, 'clf__n_estimators': 100}",0.7337815761566162,2.1156086921691895
ExtraTrees,0.8947368421052632,"{'clf__max_depth': 10, 'clf__n_estimators': 200}",0.8449962139129639,3.2453954219818115
GradientBoosting,0.8533834586466166,"{'clf__learning_rate': 0.05, 'clf__n_estimators': 100}",0.561049222946167,0.15808796882629395
AdaBoost,0.7593984962406015,{'clf__n_estimators': 100},0.5710301399230957,29.299265146255493
XGBoost,0.9172932330827067,{'clf__n_estimators': 100},1.7562284469604492,0.29161667823791504
LightGBM,0.849624060150376,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",259.22490882873535,0.22025823593139648
CatBoost,0.8421052631578947,"{'clf__depth': 4, 'clf__iterations': 200}",4.42780613899231,0.6143758296966553
KNN,0.7518796992481203,{'clf__n_neighbors': 7},0.05097484588623047,238.96974396705627
GaussianNB,0.7406015037593985,{},0.018634557723999023,1.5337419509887695
MLP,0.8759398496240601,"{'clf__activation': 'tanh', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (100,)}",2.832714796066284,5.18239164352417
