A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35
0.0,0.0,0.0,0.0,-0.0007002670387737453,0.3271108211518731,-0.5849654770623965,-0.08479622298327741,-0.2399916012393078,1.3713340148732822,-0.061448320286581294,0.0,0.0,0.0,-0.07530307187301787,0.0,0.0,0.0,0.0,0.002246899109741207,-1.401337537836589,-0.0010701060015708209,0.0,-0.0020369802278582937,0.0,0.0,0.0,0.0,0.0,0.0,-0.052792601740802636,0.0,-5.027758833951011,0.0,0.0,-0.009645292301429435
0.0,0.0,0.0,0.0,0.01109322439879179,-0.3770223327470012,0.3740572606125352,0.025480909231700936,0.16334019305853872,1.4443570722344885,-0.02619610673020361,0.0,0.0,0.0,-0.09177624635916573,0.0,0.0,0.0,0.0,0.012152344256173819,-1.4262313626921241,0.012909027170389891,0.0,-0.0020369802278582937,0.0,0.0,0.0,0.0,0.0,0.0,-0.05473641621647403,0.0,-3.9470032621546123,0.0,0.0,-0.01340311866137199
0.0,0.0,0.0,0.0,0.0324644344614353,-0.34474966352107006,-0.06331710694663344,-0.04296918299747631,-0.06535172695934306,-5.489008552568557,-0.03604147783684311,0.0,0.0,0.0,-0.10102677663118811,0.0,0.0,0.0,0.0,-0.0022405400357092733,-1.5040343958391167,-0.007846203288063408,0.0,0.01104804634291213,0.0,0.0,0.0,0.0,0.0,0.0,-0.06876387560769218,0.0,1.9020836654544109,0.0,0.0,-0.005895045519573614
0.0,0.0,0.0,0.0,-0.00279213507194072,-0.42388045523664913,0.15075403837985504,0.03493298551999033,0.06651387060817797,1.306573807547029,0.030560365260753314,0.0,0.0,0.0,-0.04240517322499386,0.0,0.0,0.0,0.0,0.034534847213653845,5.887010324293588,0.0018850538769038395,0.0,0.003448869893909432,0.0,0.0,0.0,0.0,0.0,0.0,-0.04412647666380508,0.0,1.8072479179767833,0.0,0.0,0.010810326507780701
0.0,0.0,0.0,0.0,0.01109322439879179,-0.3770223327470012,0.3740572606125352,0.025480909231700936,0.16334019305853872,1.4443570722344885,-0.02619610673020361,0.0,0.0,0.0,-0.09177624635916573,0.0,0.0,0.0,0.0,0.012152344256173819,-1.4262313626921241,0.012909027170389891,0.0,-0.0020369802278582937,0.0,0.0,0.0,0.0,0.0,0.0,-0.05473641621647403,0.0,-3.9470032621546123,0.0,0.0,-0.01340311866137199
0.0,0.0,0.0,0.0,0.01026634075678885,0.6642935046605999,0.04146508036450541,0.014061337660532445,0.061892313559656034,2.5604057195677887,-0.026092162857676158,0.0,0.0,0.0,-0.0487235645220801,0.0,0.0,0.0,0.0,0.015551994109991939,-0.994279616788699,-0.00040249420795589685,0.0,-0.004701583598798607,0.0,0.0,0.0,0.0,0.0,0.0,-0.053689777393010445,0.0,3.1076559083512985,0.0,0.0,-0.0001924569788388908
0.0,0.0,0.0,0.0,-0.019222172959707677,-0.33628176393103787,0.030285332225757883,0.01348775164457038,0.05252997618168592,-5.431502792886749,-0.025955931166827213,0.0,0.0,0.0,-0.09988061162788654,0.0,0.0,0.0,0.0,0.07289083765092073,-1.5220754863035109,-0.005111029068939388,0.0,-0.01653947639017133,0.0,0.0,0.0,0.0,0.0,0.0,0.38055972384754566,0.0,1.5508248660500248,0.0,0.0,-0.004318415441084653
0.0,0.0,0.0,0.0,-0.0007002670387737453,0.3258202563377563,-0.5864160439889019,-0.08479622298327741,-0.2399916012393078,1.3802239109978836,-0.061448320286581294,0.0,0.0,0.0,-0.07780765969840558,0.0,0.0,0.0,0.0,0.001584519496827852,-1.4033300670574682,-0.0010701060015708209,0.0,-0.004701583598798607,0.0,0.0,0.0,0.0,0.0,0.0,-0.052792601740802636,0.0,-5.008707038623907,0.0,0.0,0.005917645547306165
0.0,0.0,0.0,0.0,-0.005386682833777741,0.3432739157794276,0.38417773907647645,0.026650490272440947,0.1795379317330662,1.5070231504635012,-0.043888051153044214,0.0,0.0,0.0,-0.0739862696699447,0.0,0.0,0.0,0.0,0.012125312648713589,-1.4037617182597024,0.012909027170389891,0.0,-0.0020369802278582937,0.0,0.0,0.0,0.0,0.0,0.0,-0.04984610551444348,0.0,-4.310456998583977,0.0,0.0,-0.011654728626599536
0.0,0.0,0.0,0.0,0.01109322439879179,-0.3863461386569543,0.3663135304571188,0.025480909231700936,0.15934717502706916,1.4129298679260682,0.006579477111226879,0.0,0.0,0.0,-0.11957803597761085,0.0,0.0,0.0,0.0,-0.01109620487812208,-1.4057228476710588,0.008061345457099378,0.0,0.010290418225922622,0.0,0.0,0.0,0.0,0.0,0.0,0.20787738191633254,0.0,-3.89053718969888,0.0,0.0,0.008602207344956696
