lread,lwrite,scall,sread,swrite,fork,exec,rchar,wchar,runqsz,freemem,freeswap
5.867972500324947e-05,-4.641311447245444e-05,0.00030998923147143863,-1.152658764127512e-05,1.2467990287767795e-05,0.0018945568849822875,-3.0387448605817545e-05,0.00015128138934543124,-0.0013779313070106437,0.0003927412531304575,-0.007806353726245549,0.020716591365311406
8.508824210646803e-05,-5.425316759285481e-05,3.808786618272053e-05,-7.816421156991993e-07,2.0031400168474266e-05,0.0034737929330432653,-2.671258391747089e-05,0.0007477781428808283,0.0003594055877008645,0.00036553368447422017,0.003550066231317156,-0.008562209211076578
-0.00023709566655246428,0.0002475888775402751,-0.00035712040701382786,4.801515853297688e-06,-1.7785649234658418e-05,0.0008417329052361644,-2.3037721419436054e-05,-0.0013290614055674389,-0.0008917682542322003,0.00030567703862005856,0.0033263818613543912,-0.0011336895648282636
6.396142842383378e-05,-5.425316759283816e-05,-0.0005774833381379351,4.590830646941657e-06,-2.4185457595601866e-05,0.0019208774609435237,-1.3560258904338208e-06,-0.001480048359945474,-0.0003694852015554501,0.0004199488217865588,0.003367213135236291,-0.015041763422139382
-0.00013146159813977044,0.00016134829321660105,-0.00039155964105829497,3.853432424533176e-06,-6.316610851852533e-05,-0.002316739034002757,3.576009826361248e-05,3.466830676824573e-05,-0.002343109184914824,0.00035465065441702136,0.003193236403043012,-0.013366250138338528
6.396142842388653e-05,-5.033314103261577e-05,0.00015200225571465885,-8.471652148503428e-06,2.8176610809116376e-05,0.003473792933043315,-1.5687994232851942e-05,-7.127000507208548e-05,9.003145370450883e-06,0.0003872997381018123,-0.0002862982408247894,-0.01349240471020564
7.452483526523556e-05,-5.425316759271326e-05,0.00040656358707920613,-1.5529606561973107e-05,5.144864121132131e-05,-0.0033695633275147518,6.361189517548049e-06,0.0005426171895254711,0.00037834309805979683,0.0004199488217867725,0.003267797859697885,0.018875230775233
5.339802158255136e-05,-3.4653034792003766e-05,0.0002365349210967399,2.905348996051771e-06,8.977185727768177e-06,0.003473792933043329,-3.773717579248492e-05,-0.0023757023257986593,-0.0031403343562099923,0.0003165600557036824,-0.0007141389801983283,-0.012419765499053399
-0.0007494208983540613,0.00010254789481395632,-2.886393147028543e-05,9.120562584188918e-06,-7.36385221993957e-05,0.0018945568849823458,-3.0387448605889712e-05,-0.00016460949737710507,-0.0005616237664954366,0.00037097519950274603,0.0028293054836589226,-0.011098558672411251
8.508824210645971e-05,-5.4253167592766e-05,-0.00024055684563225322,6.170969694652139e-06,-2.011285227496995e-05,0.001894556884982307,1.0036054205769807e-05,-0.000899549887163159,-0.00011161414258384628,0.00041994882178672256,0.002752968754227136,-0.009040596132054116
