fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
-0.0007292069558530774,-0.0037032704157769305,-0.0002736723217381863,-0.0003591050275385056,0.00015000163631234158,-6.406771414204806e-05,0.0005331346723629312,-0.001204285005676423,-0.0011670148687999346,-0.0007531959884542023,-0.007137976707886589
-0.00028726334624393354,-0.007824375051568007,-0.00027367232173622754,5.915373997788282e-05,-0.0003656289885139943,0.00011973310511862827,-0.0005846190879913,-0.0001568073978858032,0.0007420859719808723,0.0011496149297482148,-0.004101616534377242
-0.0002872633462450623,-0.005076971961040791,-0.00023092771857759407,-0.0001201000175289637,-0.00022500245447067333,-1.1553194353113094e-05,-0.0001442918490637691,-0.0003663029194433451,0.0003725825834427699,0.0006739122001987294,-0.004101616534377226
0.003469257335417081,0.005912640401072763,0.00032475212251343287,-0.00035910502753828624,0.00017343939198643282,1.4704065539278013e-05,-0.0003475198054924715,-0.001413780527232556,0.000988421564339061,-0.00043606083542595064,-0.004101616534379336
-0.0007292069558539312,-0.002787469385601762,-0.0002736723217403169,-0.00041885628004141253,0.00017343939198699322,-3.781045424816609e-05,0.00032990671593342516,-0.0012042850056779694,-0.0011670148688029006,-0.0007531959884584317,-0.007137976707886813
-0.00017677744384464984,-0.0014137678403347645,-0.00020955541699625382,-0.0005383587850448235,0.00031406592603043054,-1.1553194352943916e-05,-0.00031364847942132775,0.0002621836452286197,0.00012624699108291333,-0.002338871753624453,-0.007137976707886224
-0.0008396928582546317,-0.002558519128056076,-0.00027367232173904803,-0.0007773637950537442,0.00040781694872707046,-1.155319435423389e-05,0.000973461911290906,0.0021476433392507285,-0.0004280080917238384,-0.002180304177108173,-0.0025834364476252196
-0.00028726334624521826,-0.0009558673252479256,-0.00025230002015769984,-0.00029935377503706055,0.0002203149033353687,-9.032497403611508e-05,0.0010750758895051778,-0.00015680739788653014,-0.00024325639745632834,-0.0005946284119383715,-0.006378886664509359
-0.0015026082726657636,-0.0009558673252472806,-0.0001881831154158784,-0.00041885628004169275,-0.0003421912328405851,-1.1553194353023219e-05,-0.0005168764358496018,0.0007859224491249724,0.0002494147872643523,-0.0010703311414891918,-0.008656156794638725
-0.0027179531990858857,-0.0017571932266503502,-0.00027367232173626456,-0.0005383587850437,-0.00015468918744782068,1.5754355945865474e-06,-0.00031364847942035495,0.0024618866215877075,-0.0015981021554281817,-0.0013874662945227143,-0.0033425264910006123
-0.00028726334624507553,-0.0016427180978793297,3.622605117932961e-05,-0.0005383587850443265,-0.0007406330792967713,-9.032497403487798e-05,0.0007024913027228952,-0.0007852939625579531,0.00037258258344618513,0.01510356166323626,-0.009415246838013903
0.00048613797056682026,0.005912640401074299,0.00032475212251377385,-0.0004188562800400353,-0.0002250024544715536,0.0002510194045853525,-0.0018039868265613465,-0.000261555158664894,0.00012624699108235556,0.002259587965365903,0.0012120137692573389
-0.00017677744384353168,0.004996839370897542,0.0002713213685586244,-0.0004188562800432497,-0.006061003617298732,1.4704065537882304e-05,-0.00021203450121040767,-0.0002615551586657346,0.0017274283414130795,0.007492317990420166,-0.008656156794640999
-0.0005082351510487473,0.0033941875680892327,5.759835275844677e-05,-0.00012010001753057087,9.37510226797381e-06,9.347584522175661e-05,-0.0007201043922789254,-0.0016232760487928548,-0.0012285987668898255,0.0006739122001959115,-0.004860706577756254
-0.0001767774438428999,0.00247838653791574,-4.9263155143271696e-05,-0.0005383587850439511,-0.0005531310339067984,-7.719634408806387e-05,0.0004315206941499783,5.26881236727035e-05,0.0009268376662494106,0.004796669189635727,-0.006378886664509148
0.0004861379705681605,0.0011046849926496965,-0.00015612466304536023,-0.00012010001752958754,-3.7500409078601516e-05,-9.032497403524012e-05,-0.0005846190879928913,-0.00015680739788672576,0.0009268376662493128,-0.0012288987180071533,-0.007137976707886785
-0.00128163646786372,0.0031652373105469484,-0.00012406621067512225,-6.034876502798119e-05,-6.0938164753546585e-05,6.721858532808082e-05,0.00032990671593367366,-0.00015680739788722536,-0.000674343684083621,0.00035677704716099594,-0.0048607065777552015
-0.0019445518822740191,0.0033941875680904036,-0.00010269390909422344,-0.0006578612900495297,5.625061361796175e-05,-6.406771414223047e-05,0.0009057192591490361,0.0012049134922397283,-0.00012008860127496601,-0.0007531959884549847,-0.007897066751261924
-0.0005082351510492204,0.0029362870530034537,-1.7204702771659148e-05,-0.00041885628004098167,5.6250613617782e-05,-0.00015596812377059534,0.0013121751720050004,0.0004716791667877688,0.0002494147872652537,-0.0002774932589065566,-0.006378886664509346
-0.001060664663058708,-0.0039322206733202955,-0.00027367232173828676,-0.0003591050275381514,5.625061361745422e-05,-2.468182430054311e-05,0.0004992633462913909,-0.0005757984410015637,-0.0009206792764417752,-0.000911763564972872,-0.00713797670788707
