in1,in2,in3,in4
0.0015230719848815244,0.0005365418783700449,0.009193691538510795,0.004571286287888408
-0.0014633436717489123,-0.008405822761126426,-0.0030645638461705635,-0.0058180007300397615
-0.0014633436717485793,-0.017348187400622085,-0.015322819230851041,-0.005818000730039859
0.0015230719848811358,0.0005365418783695869,0.009193691538510379,0.014960573305815336
-0.004449759328377878,-0.0173481874006218,-0.027581074615531387,-0.005818000730039796
0.010482318954769254,0.009478906517865676,0.009193691538510546,0.00457128628788827
-0.0014633436717485793,0.0005365418783701212,-0.0030645638461697586,-0.005818000730039095
-0.0014633436717483295,-0.01734818740062144,-0.03983933000021121,-0.036985861783822266
-0.0014633436717486625,-0.008405822761126322,0.009193691538510337,0.004571286287887763
0.0015230719848812468,0.0005365418783699061,0.0214519469231913,0.0045712862878883875
0.0074959032981403995,0.0005365418783698089,0.009193691538510587,0.004571286287888304
-0.004449759328378267,-0.017348187400622196,-0.015322819230851124,-0.01620728774796732
0.0015230719848814134,0.009478906517865884,-0.0030645638461700014,-0.005818000730039338
-0.0044497593283777115,-0.00840582276112601,-0.0030645638461701055,0.014960573305815988
0.0015230719848808583,-0.017348187400622314,-0.003064563846170515,-0.005818000730039727
0.0015230719848813024,0.009478906517865829,-0.015322819230850757,-0.005818000730039186
0.001523071984880886,0.0005365418783692677,-0.003064563846170709,0.004571286287887805
-0.004449759328377739,-0.008405822761126253,-0.015322819230851104,-0.005818000730039755
0.0015230719848809138,0.009478906517865301,0.00919369153851006,0.01496057330581528
0.007495903298139844,0.018421271157360725,0.021451946923190607,-0.005818000730039921
-0.010422590641636809,-0.035232916679612716,-0.0398393300002116,-0.01620728774796719
-0.0044497593283778225,0.0005365418783698783,0.00919369153851074,-0.005818000730039137
0.004509487641510684,0.009478906517865947,-0.0030645638461699806,0.004571286287888353
0.010482318954769143,0.027363635796856828,0.00919369153851049,0.004571286287888214
-0.013409006298265802,-0.02629055204011696,-0.027581074615530943,-0.00581800073003947
0.0015230719848812468,0.009478906517865815,0.009193691538510573,0.004571286287888381
-0.0014633436717488568,0.0005365418783693787,0.00919369153851024,0.014960573305815503
0.004509487641510296,0.009478906517865697,0.009193691538510539,0.004571286287888318
-0.00444975932837785,-0.017348187400621953,-0.0030645638461702096,0.004571286287887964
-0.007436174985007871,-0.017348187400622106,-0.0030645638461705565,-0.01620728774796739
-0.0014633436717485793,-0.008405822761126232,-0.015322819230851138,-0.005818000730039775
0.004509487641510129,0.027363635796856405,0.009193691538510372,-0.005818000730039692
-0.004449759328377739,-0.008405822761126266,-0.015322819230850812,0.0045712862878879434
0.0015230719848813024,0.018421271157361474,0.009193691538510601,0.004571286287888353
