model,accuracy,best_params,training_time,shap_time
LogisticRegression,0.9684827586206897,{'clf__C': 10},73.19701027870178,0.08051133155822754
RidgeClassifier,0.8760689655172413,{'clf__alpha': 10.0},6.751826047897339,0.23393654823303223
SGDClassifier,0.9431551724137931,"{'clf__alpha': 0.0001, 'clf__loss': 'hinge'}",13.642251253128052,0.030686378479003906
SVC,0.9836896551724138,"{'clf__C': 1, 'clf__kernel': 'linear'}",948.624029636383,4.986094236373901
LinearSVC,0.922603448275862,{'clf__C': 10},25.50335192680359,0.17308521270751953
DecisionTree,0.9999655172413793,{'clf__max_depth': None},6.386683464050293,22.82996392250061
RandomForest,0.9999310344827587,"{'clf__max_depth': 10, 'clf__n_estimators': 200}",89.65494060516357,2303.1253464221954
ExtraTrees,0.9998103448275862,"{'clf__max_depth': None, 'clf__n_estimators': 100}",8.781134843826294,981.6667864322662
AdaBoost,0.9267413793103448,{'clf__n_estimators': 50},5.868621349334717,6535.620537519455
XGBoost,0.9999482758620689,{'clf__n_estimators': 100},334.78952622413635,529.4276683330536
