model,accuracy,best_params,training_time,shap_time
LogisticRegression,0.5257731958762887,{'clf__C': 10},5.0675368309021,0.006906032562255859
RidgeClassifier,0.5117820324005891,{'clf__alpha': 0.1},2.921814441680908,0.0006616115570068359
SGDClassifier,0.5014727540500736,"{'clf__alpha': 0.001, 'clf__loss': 'log_loss'}",3.5607428550720215,0.0006604194641113281
SVC,0.5287187039764359,"{'clf__C': 1, 'clf__kernel': 'linear'}",4.367263078689575,0.0012559890747070312
LinearSVC,0.5154639175257731,{'clf__C': 0.1},2.812002182006836,0.0006396770477294922
DecisionTree,0.569219440353461,{'clf__max_depth': 5},3.4446847438812256,0.05322265625
RandomForest,0.8144329896907216,"{'clf__max_depth': 10, 'clf__n_estimators': 200}",3.046013116836548,222.8523826599121
ExtraTrees,0.788659793814433,"{'clf__max_depth': 10, 'clf__n_estimators': 200}",7.5285632610321045,212.7690737247467
GradientBoosting,0.6303387334315169,"{'clf__learning_rate': 0.05, 'clf__n_estimators': 100}",15.926734209060669,368.1220600605011
AdaBoost,0.5677466863033873,{'clf__n_estimators': 50},15.011093854904175,268.71489572525024
XGBoost,0.833578792341679,{'clf__n_estimators': 100},10032.544574260712,129.71085715293884
GaussianNB,0.4801178203240059,{},6.5897321701049805,61.19333362579346
MLP,0.6318114874815906,"{'clf__activation': 'relu', 'clf__alpha': 0.001, 'clf__hidden_layer_sizes': (50,)}",47.24296569824219,195.48833012580872
