Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure
0.03985254770625033,0.1209763933785871,0.0014645201910025206,-0.0017258879912515112,0.0,0.0,-0.010081445691284899,0.008355352082744502,0.0
0.1407169646270995,0.13553370443347376,-0.0018201776148634964,-0.00906696535190349,0.0,0.0,-0.008658894593572768,-0.005018489696376491,0.0
0.11196613629459534,0.16935357263781042,-0.0018819184091989883,-0.009194728074362502,0.0,0.0,-0.02011666304231767,-0.003098946742138651,0.0
0.03865823301264754,-0.07158778193323087,-0.00043884083852390176,0.0022421742474398342,0.0,0.0,0.011412542801481322,-0.0035474838200570957,0.0
0.007469954080152092,-0.07011656590353596,-0.0012739281718677376,0.011235368766683677,0.0,0.0,-0.0030336380672633823,0.021583847129659262,0.0
-0.008764200112327671,-0.029341887097780274,-0.0004514190797999618,0.0010917930217146932,0.0,0.0,-0.0035762732699731715,-0.0023492141956194244,0.0
0.09327384017726217,0.16788599919298577,-0.0022844004641228823,-0.00246524793561548,0.0,0.0,-0.021359408322023227,0.0121475726241988,0.0
-0.0177616999800739,-0.029424061128120228,-0.0008888916784781032,0.007046463005135593,0.0,0.0,-0.019304544255555812,0.021853852186868607,0.0
0.04626677764535998,0.14087234469458054,0.001664909127575811,-0.003041731791709026,0.0,0.0,0.01037398721455247,0.007281878650537692,0.0
0.14552543271131071,0.18481769670182985,0.07983207047369432,-0.017609778630849178,0.0,0.0,0.011116210659420176,0.03696119755608379,0.0
0.08896855053713808,0.17587637924068986,-0.0017125287410453894,-0.005215726380920387,0.0,0.0,-0.024852506105780776,-0.0016686856165688368,0.0
0.10896798350746394,0.20432092737504717,-0.001522526212502271,-0.0071348238536484134,0.0,0.0,0.020070236160936474,-0.0006790150804590666,0.0
0.12122001890194951,-0.07388932202004071,-0.0005266429397670436,0.04243273862399292,0.0,0.0,-0.016643289404200914,0.0009262075258084224,0.0
0.13041206123994925,0.16691206020976096,-0.0017966761367279105,0.023646802475595904,0.0,0.0,-0.020863357977268605,8.520392670106958e-05,0.0
0.011319846520200372,-0.08750649782603431,-0.0007564296577220375,-0.004831284542378853,0.0,0.0,0.005853725797460356,-0.00684809660895553,0.0
-0.06428373353490315,0.07798103095356054,-0.0015316292217175942,0.008066338816179268,0.0,0.0,-0.02203052087852484,0.009177207982047549,0.0
0.13692741293494692,0.21050086373277735,0.05029891857246185,-0.01432824698917102,0.0,0.0,0.014147434829574194,-0.009113459650670848,0.0
0.08970406935593928,0.20224784977046512,-0.0014280733575287741,-0.007988650989664165,0.0,0.0,0.022278203479363583,-0.0007012189004672109,0.0
0.08461093156311109,0.20201393701998313,-0.0015119524940382688,-0.0003086800558594405,0.0,0.0,0.020138167499371775,-0.0010613433632533998,0.0
0.11444887679283056,0.19992102418664218,0.08554700323917132,-0.0038666422757160034,0.0,0.0,0.01837147212590935,0.03803836970504562,0.0
-0.019017347759690894,-0.03240829208265495,-0.0009811911245560623,0.009623810786033573,0.0,0.0,-0.010847668987498765,0.01842449569780001,0.0
-0.023533960184577155,-0.03314731401969766,-0.0009860004270740319,0.009148533008301455,0.0,0.0,-0.013636580251350096,0.018390776254345837,0.0
0.12152390782124713,-0.07388057201627816,-0.0005333096066533472,0.042258849718728016,0.0,0.0,-0.016813011646045196,0.0009638464282397763,0.0
0.012540965519528982,-0.08876141180517153,-0.0007977714375556388,0.015513985901179694,0.0,0.0,0.004970730121258384,-0.00481273878551292,0.0
0.06531714563348942,-0.08133794548662991,-0.0006481972576511907,-0.015925951909157448,0.0,0.0,-0.007585940807075531,-0.006072595706791617,0.0
0.10363498955430259,0.16889082743316977,-0.0019510354520753026,-0.0007386701807081408,0.0,0.0,-0.020823827891981637,-0.003176005653003813,0.0
0.012540965519528982,-0.08876141180517153,-0.0007977714375556388,0.015513985901179694,0.0,0.0,0.004970730121258384,-0.00481273878551292,0.0
-0.015575627343332598,-0.05893330765504288,-0.0008213081516259991,0.011156063678208738,0.0,0.0,0.0049369501567525734,-0.006373761064605787,0.0
-0.014888789321139484,-0.0378740628484411,-0.0008994793216061225,0.004543219065417361,0.0,0.0,0.01436779079514963,0.030402728589797333,0.0
0.10384380947423778,0.2041107576874856,-0.001587269284791546,-0.004489994267532893,0.0,0.0,0.018584346994921362,-0.0013816573423173395,0.0
-0.011096102626179345,-0.061476402596181284,-0.0006710153438507405,-0.003484813122158812,0.0,0.0,0.005449228242141544,-0.0073595089356604144,0.0
