model,accuracy,best_params,training_time,shap_time
LogisticRegression,0.9624569177744953,{'clf__C': 10},1.4572482109069824,0.0031595230102539062
RidgeClassifier,0.9362383062530774,{'clf__alpha': 0.1},0.9729924201965332,0.0017499923706054688
SGDClassifier,0.9699655342195963,"{'clf__alpha': 0.001, 'clf__loss': 'hinge'}",1.0087966918945312,0.0016641616821289062
SVC,0.9714426390940424,"{'clf__C': 1, 'clf__kernel': 'linear'}",14.60800051689148,0.01679515838623047
LinearSVC,0.9469473165928114,{'clf__C': 10},0.21702790260314941,0.0017087459564208984
DecisionTree,1.0,{'clf__max_depth': None},0.1174013614654541,0.17733454704284668
RandomForest,1.0,"{'clf__max_depth': None, 'clf__n_estimators': 100}",1.746999740600586,38.455976724624634
ExtraTrees,1.0,"{'clf__max_depth': None, 'clf__n_estimators': 100}",1.5956695079803467,47.424702167510986
GradientBoosting,1.0,"{'clf__learning_rate': 0.05, 'clf__n_estimators': 200}",5.284598350524902,11.902251243591309
AdaBoost,1.0,{'clf__n_estimators': 100},1.8770949840545654,2227.893797636032
XGBoost,1.0,{'clf__n_estimators': 100},81.91157674789429,3.110963821411133
CatBoost,1.0,"{'clf__depth': 4, 'clf__iterations': 200}",12.315555572509766,9.958168029785156
KNN,1.0,{'clf__n_neighbors': 3},1.5088467597961426,676.4030330181122
GaussianNB,0.8473658296405712,{},1.188795804977417,48.584556102752686
MLP,0.9998769079271295,"{'clf__activation': 'relu', 'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (50,)}",11.501270532608032,95.07187008857727
